zinc_id,smiles
ZINC000003831551,S[C@@H](C(=O)NCC(=O)[O-])C
ZINC000000000353,O(C[C@H](O)CO)c1c(OC)cccc1
ZINC000003815424,O(C)c1cc2c([C@@H]3[C@H]([C@H]4[C@@](C)([C@](O)(C#C)CC4)CC3)CC2)cc1
ZINC000003872994,Clc1c([C@@]2(Cn3cncc3)O[C@@H](COc3ccc(N4CCN(C(=O)C)CC4)cc3)CO2)ccc(Cl)c1
ZINC000058581064,Fc1c(CNC(=O)C=2C(=O)C([O-])=C3C(=O)N4[C@H](C)CCO[C@H]4CN3C=2)ccc(F)c1
ZINC000150338708,O=C(Oc1c(C)c2OCOc2c2[C@H]3N4[C@@H](O)[C@H]5[NH+](C)[C@@H]([C@@H]4[C@H](SC[C@@]4(C(=O)OC3)NCCc3c4cc(OC)c(O)c3)c12)c1c(O)c(OC)c(C)cc1C5)C
ZINC000049643479,O=C([O-])CCc1oc(c(-c2ccccc2)n1)-c1ccccc1
ZINC000003873921,S(=O)(=O)(Oc1ccc(C(c2ncccc2)c2ccc(OS(=O)(=O)[O-])cc2)cc1)[O-]
ZINC000000896455,Brc1ccc([C@@H](CC[NH+](C)C)c2ncccc2)cc1
ZINC000052955754,O=C(N[C@@]1(C)C(=O)N2[C@@H](Cc3ccccc3)C(=O)N3[C@H]([C@]2(O)O1)CCC3)[C@@H]1C=C2[C@H]([NH+](C)C1)Cc1c3c([nH]c1)cccc23
ZINC000000113382,ClC(Cl)C(=O)N[C@@H]([C@H](O)c1ccc([N+](=O)[O-])cc1)CO
ZINC000003830961,Ic1c(NC(=O)C)c(I)c(C(=O)NC)c(I)c1C(=O)[O-]
ZINC000003830441,S(CC1=C(C(=O)[O-])N2C(=O)[C@@](OC)(NC(=O)C3[S+]=C(C(C(=O)[O-])C(=O)N)S3)[C@H]2SC1)c1n(C)nnn1
ZINC000148723177,Clc1c(Nc2c(P(=O)(C)C)cccc2)nc(Nc2c(OC)cc(N3CCC(N4CC[NH+](C)CC4)CC3)cc2)nc1
ZINC000000001145,O=C1N([O-])C(C2CCCCC2)=CC(C)=C1
ZINC000007997897,[NH+](C/C=C\c1ccccc1)(Cc1c2c(ccc1)cccc2)C
ZINC000003941829,S(=O)(=O)(N(C[C@@H](OP(=O)([O-])[O-])[C@@H](NC(=O)O[C@@H]1COCC1)Cc1ccccc1)CC(C)C)c1ccc(N)cc1
ZINC000000000565,O([C@@H](c1c(C)cccc1)c1ccccc1)CC[NH+](C)C
ZINC000066166864,O=C1c2c3c([nH]c2C(C)(C)c2c1cc(CC)c(N1CCC([NH+]4CCOCC4)CC1)c2)cc(C#N)cc3
ZINC000000001899,O=C1NC(N)=Nc2n(CCC(CO)CO)cnc12
ZINC000001530725,ClC(Cl)[C@@H](c1c(Cl)cccc1)c1ccc(Cl)cc1
ZINC000035653009,Fc1c([C@H](C(=O)C2CC2)N2Cc3c(sc(OC(=O)C)c3)CC2)cccc1
ZINC000003079340,O=C([O-])C[C@@H](O)C[N+](C)(C)C
ZINC000000155531,O=C(OCC[NH+](C)C)[C@@H](c1ccccc1)C1(O)CCCC1
ZINC000035902489,Clc1c([C@H](Oc2c(N)ncc(-c3cn(C4CC[NH2+]CC4)nc3)c2)C)c(Cl)ccc1F
ZINC000006827693,O=C(O)[O-]
ZINC000000897322,O(C[C@H]1OC(=O)NC1)c1cc(C)cc(C)c1
ZINC000003813083,O=C(O[C@H]1C[N+](C)(C)CCC1)C(O)(c1ccccc1)c1ccccc1
ZINC000085534336,O([C@@H]1[C@@H](C)[C@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@](OC)(C)C2)[C@@H](C)C(=O)O[C@H](CC)[C@](O)(C)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@]1(O)C)[C@H]1[C@H](O)[C@@H]([NH+](C)C)C[C@@H](C)O1
ZINC000019632917,Clc1cc2C(=[N+]([O-])CC(NC)=Nc2cc1)c1ccccc1
ZINC000000403010,O=C(N)c1c(O)ccc([C@@H](O)C[NH2+][C@H](CCc2ccccc2)C)c1
ZINC000034806477,S=C1N(c2cc(C(F)(F)F)c(C#N)cc2)C(=O)C(C)(C)N1c1cc(F)c(C(=O)NC)cc1
ZINC000019594557,Clc1ccc([C@@H](N2CC[NH+](Cc3cc(C)ccc3)CC2)c2ccccc2)cc1
ZINC000000967520,O=C1[C@@]2(C)C(C)(C)[C@@H](C1)CC2
ZINC000000538386,O=C(N(c1ccccc1)C1(COC)CC[NH+](CCc2sccc2)CC1)CC
ZINC000006661227,O=C([O-])[C@@H]([NH3+])Cc1[nH]cnc1
ZINC000238809664,O=C(OCCCCCOC(=O)CC[N@+]1(C)[C@H](Cc2cc(OC)c(OC)cc2)c2c(cc(OC)c(OC)c2)CC1)CC[N@+]1(C)[C@H](Cc2cc(OC)c(OC)cc2)c2c(cc(OC)c(OC)c2)CC1
ZINC000002005550,O=C1C([C@H](CCC)C)(CC=C)C(=O)NC(=O)N1
ZINC000005179119,S(=O)(=O)(N=C([O-])C)c1ccc(N)cc1
ZINC000000001148,[NH+](CC/C=C/1\c2c(OCc3c\1cccc3)cccc2)(C)C
ZINC000100371951,SCC/C=C/[C@H]1OC(=O)[C@H](C(C)C)NC(=O)/C(=C/C)/NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C1
ZINC000006021043,[NH2+]([C@H](Cc1ccccc1)C)C
ZINC000096272772,Clc1c(Nc2c(S(=O)(=O)C(C)C)cccc2)nc(Nc2c(OC(C)C)cc(c(C)c2)C2CC[NH2+]CC2)nc1
ZINC000000006481,FC(F)(F)Oc1cc2sc(N)nc2cc1
ZINC000019702309,Clc1c(NC2=[NH+]CCN2)c2nsnc2cc1
ZINC000169621230,O(CCO)[C@H]1[C@H](OC)C[C@H](C[C@H](C)[C@H]2OC(=O)[C@@H]3N(C(=O)C(=O)[C@]4(O)[C@@H](C)CC[C@@H](O4)C[C@H](OC)/C(/C)=C/C=C/C=C/[C@H](C)C[C@H](C)C(=O)[C@H](OC)[C@H](O)/C(/C)=C/[C@@H](C)C(=O)C2)CCCC3)CC1
ZINC000164528615,S(=O)(=O)(NC(=O)[C@]1(NC(=O)[C@H]2N3C(=O)[C@H](C(C)(C)C)NC(=O)O[C@H]4[C@H](OC/C=C/C(F)(F)c5nc6c(nc5O[C@H](C2)C3)cccc6)CCC4)[C@H](C(F)F)C1)C1(C)CC1
ZINC000000592419,Clc1c(NC(=O)c2cc(OCC3CC3)c(OC(F)F)cc2)c(Cl)cnc1
ZINC000100004343,Clc1cc([C@@H](O)C[NH+](CCCC)CCCC)c-2c(/C(=C\c3ccc(Cl)cc3)/c3c-2ccc(Cl)c3)c1
ZINC000000897385,Clc1c(CO[C@@H](Cn2cncc2)c2c(Cl)cc(Cl)cc2)ccs1
ZINC000001543916,O=C(OC[C@H](OCn1c2N=C(N)NC(=O)c2nc1)CO)[C@@H](N)C(C)C
ZINC000003831404,O(C)c1cc2c([C@@H](O)[C@H]3[NH+]4C[C@H](C=C)[C@H](C3)CC4)ccnc2cc1
ZINC000004655029,Brc1cc2c(nc(OC)c([C@H]([C@@](O)(CC[NH+](C)C)c3c4c(ccc3)cccc4)c3ccccc3)c2)cc1
ZINC000003915154,O=C(OCC(=O)[C@]12[C@]3(C)[C@H]([C@H]4[C@H]([C@@H](O)C3)[C@]3(C)C(=CC(=O)C=C3)CC4)C[C@H]1O[C@@H](C1CCCCC1)O2)C(C)C
